time,temperatura,entrada
150,25.6,0
300,25.6,0
450,25.6,0
600,25.6,0
750,25.6,0
900,25.6,0
1050,25.6,0
1200,25.6,0
1350,25.6,0
1500,25.6,0
1650,25.6,0
1800,25.6,0
1950,25.6,0
2100,25.6,0
2250,25.6,0
2400,25.6,0
2550,25.6,0
2700,25.6,0
2850,25.6,0
3000,25.6,0
3150,25.6,0
3300,25.6,0
3450,25.6,0
3600,25.6,0
3750,25.6,0
3900,25.6,0
4050,25.6,0
4200,25.6,0
4350,25.6,0
4500,25.6,0
4650,25.6,0
4800,25.6,0
4950,25.6,0
5100,25.6,0
5250,25.6,0
5400,25.6,0
5550,25.6,0
5700,25.6,0
5850,25.6,0
6000,25.6,0
6150,25.6,0
6300,25.6,0
6450,25.6,0
6600,25.6,0
6750,25.6,0
6900,25.6,0
7050,25.6,0
7200,25.6,0
7350,25.6,0
7500,25.6,0
7650,25.6,0
7800,25.6,0
7950,25.6,0
8100,25.6,0
8250,25.6,0
8400,25.6,0
8550,25.6,0
8700,25.6,0
8850,25.6,0
9000,25.6,0
9150,25.6,0
9300,25.6,0
9450,25.6,0
9600,25.6,0
9750,25.6,0
9900,25.6,0
10050,25.6,0
10200,25.6,0
10350,25.6,0
10500,25.6,0
10650,25.6,0
10800,25.6,50
10950,25.6,50
11100,25.6,50
11250,25.6,50
11400,25.6,50
11550,25.6,50
11700,25.6,50
11850,25.6,50
12000,25.6,50
12150,25.6,50
12300,25.6,50
12450,25.6,50
12600,25.6,50
12750,25.6,50
12900,25.6,50
13050,25.6,50
13200,25.6,50
13350,25.6,50
13500,25.6,50
13650,25.6,50
13800,25.6,50
13950,25.6,50
14100,25.6,50
14250,25.6,50
14400,25.6,50
14550,25.6,50
14700,25.6,50
14850,25.6,50
15000,25.6,50
15150,25.6,50
15300,25.6,50
15450,25.6,50
15600,25.6,50
15750,25.6,50
15900,25.6,50
16050,25.6,50
16200,25.6,50
16350,25.6,50
16500,25.6,50
16650,25.6,50
16800,25.6,50
16950,25.6,50
17100,25.6,50
17250,25.6,50
17400,25.7,50
17550,25.7,50
17700,25.7,50
17850,25.7,50
18000,25.7,50
18150,25.7,50
18300,25.7,50
18450,25.7,50
18600,25.7,50
18750,25.7,50
18900,25.7,50
19050,25.7,50
19200,25.7,50
19350,25.7,50
19500,25.8,50
19650,25.8,50
19800,25.8,50
19950,25.8,50
20100,25.8,50
20250,25.8,50
20400,25.8,50
20550,25.8,50
20700,25.9,50
20850,25.9,50
21000,25.9,50
21150,26,50
21300,26,50
21450,26,50
21600,26,50
21750,26,50
21900,26.1,50
22050,26.1,50
22200,26.1,50
22350,26.1,50
22500,26.1,50
22650,26.1,50
22800,26.2,50
22950,26.2,50
23100,26.2,50
23250,26.2,50
23400,26.2,50
23550,26.3,50
23700,26.3,50
23850,26.3,50
24000,26.4,50
24150,26.4,50
24300,26.5,50
24450,26.5,50
24600,26.5,50
24750,26.5,50
24900,26.5,50
25050,26.5,50
25200,26.6,50
25350,26.6,50
25500,26.6,50
25650,26.8,50
25800,26.8,50
25950,26.9,50
26100,26.9,50
26250,26.9,50
26400,27,50
26550,27,50
26700,27,50
26850,27.1,50
27000,27.1,50
27150,27.1,50
27300,27.2,50
27450,27.2,50
27600,27.3,50
27750,27.3,50
27900,27.3,50
28050,27.4,50
28200,27.4,50
28350,27.4,50
28500,27.6,50
28650,27.6,50
28800,27.7,50
28950,27.7,50
29100,27.7,50
29250,27.8,50
29400,27.8,50
29550,27.8,50
29700,28,50
29850,28,50
30000,28,50
30150,28.1,50
30300,28.1,50
30450,28.3,50
30600,28.3,50
30750,28.3,50
30900,28.4,50
31050,28.4,50
31200,28.4,50
31350,28.6,50
31500,28.6,50
31650,28.7,50
31800,28.7,50
31950,28.7,50
32100,28.9,50
32250,28.9,50
32400,28.9,50
32550,29.1,50
32700,29.1,50
32850,29.1,50
33000,29.2,50
33150,29.2,50
33300,29.4,50
33450,29.4,50
33600,29.4,50
33750,29.6,50
33900,29.6,50
34050,29.6,50
34200,29.8,50
34350,29.8,50
34500,30,50
34650,30,50
34800,30,50
34950,30.2,50
35100,30.2,50
35250,30.2,50
35400,30.3,50
35550,30.3,50
35700,30.3,50
35850,30.6,50
36000,30.6,50
36150,30.8,50
36300,30.8,50
36450,30.8,50
36600,31,50
36750,31,50
36900,31,50
37050,31.2,50
37200,31.2,50
37350,31.4,50
37500,31.4,50
37650,31.4,50
37800,31.6,50
37950,31.6,50
38100,31.6,50
38250,31.8,50
38400,31.8,50
38550,31.8,50
38700,32,50
38850,32,50
39000,32.3,50
39150,32.3,50
39300,32.3,50
39450,32.5,50
39600,32.5,50
39750,32.5,50
39900,32.7,50
40050,32.7,50
40200,32.7,50
40350,33,50
40500,33,50
40650,33.2,50
40800,33.2,50
40950,33.2,50
41100,33.4,50
41250,33.4,50
41400,33.4,50
41550,33.7,50
41700,33.7,50
41850,33.7,50
42000,33.9,50
42150,33.9,50
42300,34.2,50
42450,34.2,50
42600,34.2,50
42750,34.4,50
42900,34.4,50
43050,34.4,50
43200,34.6,50
43350,34.6,50
43500,34.6,50
43650,34.9,50
43800,34.9,50
43950,35.1,50
44100,35.1,50
44250,35.1,50
44400,35.4,50
44550,35.4,50
44700,35.7,50
44850,35.7,50
45000,35.7,50
45150,35.9,50
45300,35.9,50
45450,35.9,50
45600,36.2,50
45750,36.2,50
45900,36.2,50
46050,36.5,50
46200,36.5,50
46350,36.7,50
46500,36.7,50
46650,36.7,50
46800,37,50
46950,37,50
47100,37,50
47250,37.2,50
47400,37.2,50
47550,37.2,50
47700,37.5,50
47850,37.5,50
48000,37.8,50
48150,37.8,50
48300,37.8,50
48450,38,50
48600,38,50
48750,38,50
48900,38.3,50
49050,38.3,50
49200,38.6,50
49350,38.6,50
49500,38.6,50
49650,39,50
49800,39,50
49950,39,50
50100,39.2,50
50250,39.2,50
50400,39.2,50
50550,39.5,50
50700,39.5,50
50850,39.8,50
51000,39.8,50
51150,39.8,50
51300,40,50
51450,40,50
51600,40,50
51750,40.3,50
51900,40.3,50
52050,40.6,50
52200,40.6,50
52350,40.6,50
52500,40.9,50
52650,40.9,50
52800,40.9,50
52950,41.2,50
53100,41.2,50
53250,41.5,50
53400,41.5,50
53550,41.5,50
53700,41.8,50
53850,41.8,50
54000,41.8,50
54150,42.1,50
54300,42.1,50
54450,42.1,50
54600,42.4,50
54750,42.4,50
54900,42.7,50
55050,42.7,50
55200,42.7,50
55350,42.9,50
55500,42.9,50
55650,42.9,50
55800,43.3,50
55950,43.3,50
56100,43.6,50
56250,43.6,50
56400,43.6,50
56550,43.9,50
56700,43.9,50
56850,43.9,50
57000,44.2,50
57150,44.2,50
57300,44.2,50
57450,44.5,50
57600,44.5,50
57750,44.5,50
57900,44.9,50
58050,44.9,50
58200,45.1,50
58350,45.1,50
58500,45.1,50
58650,45.5,50
58800,45.5,50
58950,45.5,50
59100,45.8,50
59250,45.8,50
59400,45.8,50
59550,46.1,50
59700,46.1,50
59850,46.4,50
60000,46.4,50
60150,46.4,50
60300,46.7,50
60450,46.7,50
60600,46.7,50
60750,47,50
60900,47,50
61050,47.3,50
61200,47.3,50
61350,47.3,50
61500,47.6,50
61650,47.6,50
61800,47.6,50
61950,48,50
62100,48,50
62250,48,50
62400,48.3,50
62550,48.3,50
62700,48.6,50
62850,48.6,50
63000,48.6,50
63150,48.9,50
63300,48.9,50
63450,48.9,50
63600,49.2,50
63750,49.2,50
63900,49.5,50
64050,49.5,50
64200,49.5,50
64350,49.8,50
64500,49.8,50
64650,49.8,50
64800,50.1,50
64950,50.1,50
65100,50.1,50
65250,50.4,50
65400,50.4,50
65550,50.7,50
65700,50.7,50
65850,50.7,50
66000,51,50
66150,51,50
66300,51,50
66450,51.4,50
66600,51.4,50
66750,51.7,50
66900,51.7,50
67050,51.7,50
67200,52,50
67350,52,50
67500,52,50
67650,52.3,50
67800,52.3,50
67950,52.3,0
68100,52.6,0
68250,52.6,0
68400,52.9,0
68550,52.9,0
68700,52.9,0
68850,53.2,0
69000,53.2,0
69150,53.2,0
69300,53.6,0
69450,53.6,0
69600,53.9,0
69750,53.9,0
69900,53.9,0
70050,54.2,0
70200,54.2,0
70350,54.2,0
70500,54.5,0
70650,54.5,0
70800,54.5,0
70950,54.9,0
71100,54.9,0
71250,55.2,0
