time,Tmp Husillo,Tmp Nozzle,Diametro X,Diametro Y,MARCHA,PARO,RPM EXTR,RPM TRAC
2015-8-12 9:5:0,66,150.5,1.700073,1.747282,TRUE,TRUE,0,1.9425
2015-8-12 9:5:2,66,150.6,1.700073,1.758775,TRUE,TRUE,0,1.9425
2015-8-12 9:5:4,66,150.8,1.700073,1.712803,TRUE,TRUE,0,1.4975
2015-8-12 9:5:5,66,151,1.654193,1.735789,TRUE,TRUE,0,1.4975
2015-8-12 9:5:7,66,151.1,1.608313,1.712803,TRUE,TRUE,0,1.4975
2015-8-12 9:5:8,66,151.3,1.654193,1.666831,TRUE,TRUE,0,1.4975
2015-8-12 9:5:10,66,151.4,1.780362,1.666831,TRUE,TRUE,0,1.4975
2015-8-12 9:5:12,66,151.5,1.90653,1.678324,TRUE,TRUE,0,1.4975
2015-8-12 9:5:13,66,151.7,1.94094,1.666831,TRUE,TRUE,0,2.3875
2015-8-12 9:5:15,66,151.8,1.94094,1.666831,TRUE,TRUE,0,2.3875
2015-8-12 9:5:16,66,151.9,1.97535,1.597873,TRUE,TRUE,0,3.5
2015-8-12 9:5:18,66,152,1.94094,1.712803,TRUE,TRUE,0,3.5
2015-8-12 9:5:20,66,152.1,1.90653,1.885199,TRUE,TRUE,0,3.5
2015-8-12 9:5:21,66,152.2,1.837711,1.931171,TRUE,TRUE,0,3.5
2015-8-12 9:5:23,66,152.3,1.711542,1.873706,TRUE,TRUE,0,2.61
2015-8-12 9:5:24,66,152.3,1.596844,1.885199,TRUE,TRUE,0,2.61
2015-8-12 9:5:26,66,152.4,1.895061,1.85072,TRUE,TRUE,0,1.72
2015-8-12 9:5:28,66,152.4,1.90653,1.816241,TRUE,TRUE,0,1.72
2015-8-12 9:5:29,66,152.5,1.918,1.770268,TRUE,TRUE,0,2.61
2015-8-12 9:5:31,66,152.5,1.918,1.678324,TRUE,TRUE,0,2.61
2015-8-12 9:5:32,66,152.5,1.94094,1.609366,TRUE,TRUE,0,3.5
2015-8-12 9:5:34,66,152.6,1.97535,1.873706,TRUE,TRUE,0,3.5
2015-8-12 9:5:36,66,152.6,2.009759,1.885199,TRUE,TRUE,0,3.5
2015-8-12 9:5:37,66,152.6,2.032699,1.931171,TRUE,TRUE,0,3.5
2015-8-12 9:5:39,66,152.6,1.98682,1.942664,TRUE,TRUE,0,3.5
2015-8-12 9:5:40,66,152.6,2.021229,2.000129,TRUE,TRUE,0,3.5
2015-8-12 9:5:42,66,152.5,2.009759,2.000129,TRUE,TRUE,0,3.5
2015-8-12 9:5:44,66,152.5,1.98682,2.023115,TRUE,TRUE,0,3.5
2015-8-12 9:5:45,66,152.4,1.96388,2.046101,TRUE,TRUE,0,3.5
2015-8-12 9:5:47,66,152.4,1.895061,2.057594,TRUE,TRUE,0,3.5
2015-8-12 9:5:48,66,152.4,1.860651,2.011622,TRUE,TRUE,0,3.5
2015-8-12 9:5:50,66,152.3,1.849181,1.977143,TRUE,TRUE,0,3.5
2015-8-12 9:5:52,66,152.3,1.791832,1.931171,TRUE,TRUE,0,2.61
2015-8-12 9:5:53,66,152.2,1.780362,1.908185,TRUE,TRUE,0,2.61
2015-8-12 9:5:55,66,152.1,1.757422,1.885199,TRUE,TRUE,0,2.165
2015-8-12 9:5:56,66.1,152.1,1.734482,1.873706,TRUE,TRUE,0,2.165
2015-8-12 9:5:58,66.1,152,1.723012,1.873706,TRUE,TRUE,0,1.72
2015-8-12 9:6:0,66.1,152,1.700073,1.839227,TRUE,TRUE,0,1.72
2015-8-12 9:6:1,66.1,151.9,1.654193,1.816241,TRUE,TRUE,0,1.4975
2015-8-12 9:6:3,66.1,151.9,1.677133,1.804748,TRUE,TRUE,0,1.4975
2015-8-12 9:6:4,66.1,151.8,1.768892,1.793254,TRUE,TRUE,0,1.4975
2015-8-12 9:6:6,66.1,151.8,1.608313,1.770268,TRUE,TRUE,0,1.4975
2015-8-12 9:6:8,66.1,151.7,1.539494,1.758775,TRUE,TRUE,0,1.9425
2015-8-12 9:6:9,66.1,151.7,1.505085,1.747282,TRUE,TRUE,0,1.9425
2015-8-12 9:6:11,66.1,151.6,1.493615,1.724296,TRUE,TRUE,0,1.4975
2015-8-12 9:6:12,66.1,151.6,1.482145,1.666831,TRUE,TRUE,0,1.4975
2015-8-12 9:6:14,66.1,151.6,1.482145,1.655338,TRUE,TRUE,0,1.4975
2015-8-12 9:6:16,66.1,151.5,1.516554,1.781762,TRUE,TRUE,0,1.4975
2015-8-12 9:6:17,66.1,151.5,1.539494,1.655338,TRUE,TRUE,0,1.4975
2015-8-12 9:6:19,66.1,151.5,1.585374,1.517422,TRUE,TRUE,0,1.4975
2015-8-12 9:6:20,66.1,151.5,1.642723,1.494436,TRUE,TRUE,0,1.4975
2015-8-12 9:6:22,66.1,151.4,1.723012,1.459957,TRUE,TRUE,0,1.4975
2015-8-12 9:6:24,66,151.5,1.791832,1.47145,TRUE,TRUE,0,2.3875
2015-8-12 9:6:25,66,151.5,1.860651,1.494436,TRUE,TRUE,0,2.3875
2015-8-12 9:6:27,66,151.5,1.883591,1.517422,TRUE,TRUE,0,3.2775
2015-8-12 9:6:28,66,151.5,1.918,1.563394,TRUE,TRUE,0,3.2775
2015-8-12 9:6:30,66,151.5,1.96388,1.678324,TRUE,TRUE,0,3.5
2015-8-12 9:6:32,66,151.6,1.97535,1.804748,TRUE,TRUE,0,3.5
2015-8-12 9:6:33,66,151.6,1.98682,1.873706,TRUE,TRUE,0,3.5
2015-8-12 9:6:35,66,151.6,1.98682,1.931171,TRUE,TRUE,0,3.5
2015-8-12 9:6:36,66,151.6,1.98682,1.977143,TRUE,TRUE,0,3.5
2015-8-12 9:6:38,66,151.7,1.94094,2.000129,TRUE,TRUE,0,3.5
2015-8-12 9:6:40,66,151.7,1.95241,2.023115,TRUE,TRUE,0,3.5
2015-8-12 9:6:41,66.1,151.7,1.918,2.011622,TRUE,TRUE,0,3.5
2015-8-12 9:6:43,66.1,151.7,1.872121,1.977143,TRUE,TRUE,0,3.5
2015-8-12 9:6:44,66.1,151.7,1.837711,1.96565,TRUE,TRUE,0,3.5
2015-8-12 9:6:46,66,151.7,1.883591,1.977143,TRUE,TRUE,0,2.61
2015-8-12 9:6:48,66,151.7,1.918,1.919678,TRUE,TRUE,0,2.61
2015-8-12 9:6:49,66,151.7,1.97535,1.873706,TRUE,TRUE,0,3.5
2015-8-12 9:6:51,66,151.7,2.032699,1.839227,TRUE,TRUE,0,3.5
2015-8-12 9:6:52,66,151.7,2.090049,1.885199,TRUE,TRUE,0,3.5
2015-8-12 9:6:54,66,151.7,2.147398,1.919678,TRUE,TRUE,0,3.5
2015-8-12 9:6:56,66,151.7,2.181808,1.96565,TRUE,TRUE,0,3.5
2015-8-12 9:6:57,66,151.7,2.170338,2.023115,TRUE,TRUE,0,3.5
2015-8-12 9:6:59,66,151.6,2.135928,2.115059,TRUE,TRUE,0,3.5
2015-8-12 9:7:0,66,151.6,2.090049,2.161031,TRUE,TRUE,0,3.5
2015-8-12 9:7:2,66,151.6,2.021229,2.172524,TRUE,TRUE,0,3.5
2015-8-12 9:7:4,66,151.5,1.97535,2.161031,TRUE,TRUE,0,3.5
2015-8-12 9:7:5,66,151.5,1.895061,2.092073,TRUE,TRUE,0,3.5
2015-8-12 9:7:7,66,151.5,1.849181,2.034608,TRUE,TRUE,0,3.5
2015-8-12 9:7:8,66,151.4,1.780362,1.96565,TRUE,TRUE,0,2.61
2015-8-12 9:7:10,66,151.3,1.780362,1.931171,TRUE,TRUE,0,2.61
2015-8-12 9:7:12,66,151.2,1.745952,1.908185,TRUE,TRUE,0,2.165
2015-8-12 9:7:13,66,151.2,1.711542,1.85072,TRUE,TRUE,0,2.165
2015-8-12 9:7:15,66,151.1,1.711542,1.816241,TRUE,TRUE,0,1.72
2015-8-12 9:7:16,66,151,1.700073,1.793254,TRUE,TRUE,0,1.72
2015-8-12 9:7:18,66,151,1.700073,1.781762,TRUE,TRUE,0,1.4975
2015-8-12 9:7:20,66,150.9,1.723012,1.770268,TRUE,TRUE,0,1.4975
2015-8-12 9:7:21,66,150.9,1.745952,1.735789,TRUE,TRUE,0,1.4975
2015-8-12 9:7:23,66,150.8,1.780362,1.724296,TRUE,TRUE,0,1.4975
2015-8-12 9:7:24,66,150.7,1.814771,1.712803,TRUE,TRUE,0,1.9425
2015-8-12 9:7:26,66,150.7,1.849181,1.712803,TRUE,TRUE,0,1.9425
2015-8-12 9:7:28,66,150.6,1.872121,1.70131,TRUE,TRUE,0,2.8325
2015-8-12 9:7:29,66,150.6,1.90653,1.735789,TRUE,TRUE,0,2.8325
2015-8-12 9:7:31,66,150.6,1.918,1.770268,TRUE,TRUE,0,3.5
2015-8-12 9:7:32,66,150.6,1.94094,1.827734,TRUE,TRUE,0,3.5
2015-8-12 9:7:34,66,150.6,1.94094,1.885199,TRUE,TRUE,0,3.5
2015-8-12 9:7:36,66,150.6,1.95241,1.908185,TRUE,TRUE,0,3.5
2015-8-12 9:7:37,66,150.6,1.96388,1.931171,TRUE,TRUE,0,3.5
2015-8-12 9:7:39,66,150.6,1.97535,1.942664,TRUE,TRUE,0,3.5
2015-8-12 9:7:40,66,150.6,1.98682,1.942664,TRUE,TRUE,0,3.5
2015-8-12 9:7:42,66,150.6,2.032699,1.954157,TRUE,TRUE,0,3.5
2015-8-12 9:7:44,66,150.6,2.090049,1.977143,TRUE,TRUE,0,3.5
2015-8-12 9:7:45,66,150.7,2.147398,1.988636,TRUE,TRUE,0,3.5
2015-8-12 9:7:47,66,150.7,2.227687,1.988636,TRUE,TRUE,0,3.5
2015-8-12 9:7:48,66,150.8,2.457085,2.034608,TRUE,TRUE,0,3.5
2015-8-12 9:7:50,66,150.8,2.285037,2.092073,TRUE,TRUE,0,3.5
2015-8-12 9:7:52,66,150.8,2.285037,2.195511,TRUE,TRUE,0,3.5
2015-8-12 9:7:53,66,150.9,2.296506,2.275962,TRUE,TRUE,0,3.5
2015-8-12 9:7:55,66,150.9,2.273566,2.252976,TRUE,TRUE,0,3.5
2015-8-12 9:7:56,66,150.9,2.227687,2.275962,TRUE,TRUE,0,3.5
2015-8-12 9:7:58,66,151,2.170338,2.264469,TRUE,TRUE,0,3.5
2015-8-12 9:8:0,66,151,2.124458,2.241483,TRUE,TRUE,0,3.5
2015-8-12 9:8:1,66,151,2.067109,2.218497,TRUE,TRUE,0,3.5
2015-8-12 9:8:3,66,151,2.055639,2.184017,TRUE,TRUE,0,3.5
2015-8-12 9:8:4,66,151,1.998289,2.149539,TRUE,TRUE,0,3.5
2015-8-12 9:8:6,66,151,1.998289,2.08058,TRUE,TRUE,0,3.5
2015-8-12 9:8:8,66,150.9,1.998289,2.08058,TRUE,TRUE,0,3.5
2015-8-12 9:8:9,66,150.9,2.021229,2.011622,TRUE,TRUE,0,3.5
2015-8-12 9:8:11,66,150.9,2.055639,2.000129,TRUE,TRUE,0,3.5
2015-8-12 9:8:12,66,150.9,2.101518,2.000129,TRUE,TRUE,0,3.5
2015-8-12 9:8:14,65.9,150.8,2.112988,2.000129,TRUE,TRUE,0,3.5
2015-8-12 9:8:16,66,150.8,2.067109,2.023115,TRUE,TRUE,0,3.5
2015-8-12 9:8:17,66,150.7,2.009759,2.046101,TRUE,TRUE,0,3.5
2015-8-12 9:8:19,66,150.6,1.95241,2.08058,TRUE,TRUE,0,3.5
2015-8-12 9:8:20,66,150.6,1.883591,2.057594,TRUE,TRUE,0,3.5
2015-8-12 9:8:22,66,150.5,1.814771,2.023115,TRUE,TRUE,0,3.5
2015-8-12 9:8:24,66,150.5,1.711542,1.96565,TRUE,TRUE,0,3.5
2015-8-12 9:8:25,65.9,150.4,1.688603,1.908185,TRUE,TRUE,0,3.055
2015-8-12 9:8:27,66,150.3,1.688603,1.839227,TRUE,TRUE,0,3.055
2015-8-12 9:8:28,66,150.3,1.688603,1.770268,TRUE,TRUE,0,2.165
2015-8-12 9:8:30,65.9,150.3,1.723012,1.712803,TRUE,TRUE,0,2.165
2015-8-12 9:8:32,65.9,150.2,1.723012,1.70131,TRUE,TRUE,0,3.055
2015-8-12 9:8:33,65.9,150.2,1.768892,1.712803,TRUE,TRUE,0,3.055
2015-8-12 9:8:35,65.9,150.1,1.837711,1.689817,TRUE,TRUE,0,3.5
2015-8-12 9:8:36,65.9,150.1,1.883591,1.735789,TRUE,TRUE,0,3.5
2015-8-12 9:8:38,65.9,150.1,1.92947,1.747282,TRUE,TRUE,0,3.5
2015-8-12 9:8:40,65.9,150,1.998289,1.804748,TRUE,TRUE,0,3.5
2015-8-12 9:8:41,65.9,150,2.044169,1.873706,TRUE,TRUE,0,3.5
2015-8-12 9:8:43,65.9,150,2.101518,1.919678,TRUE,TRUE,0,3.5
2015-8-12 9:8:44,65.9,150,2.170338,1.977143,TRUE,TRUE,0,3.5
2015-8-12 9:8:46,65.9,150,2.170338,2.034608,TRUE,TRUE,0,3.5
2015-8-12 9:8:48,65.9,150,2.124458,2.023115,TRUE,TRUE,0,3.5
2015-8-12 9:8:49,65.9,150,2.055639,1.931171,TRUE,TRUE,0,3.5
2015-8-12 9:8:51,65.9,150,1.998289,1.954157,TRUE,TRUE,0,3.5
2015-8-12 9:8:52,65.9,150,1.849181,1.96565,TRUE,TRUE,0,3.5
2015-8-12 9:8:54,65.9,150,1.734482,1.977143,TRUE,TRUE,0,3.5
2015-8-12 9:8:56,65.9,150.1,1.631253,1.977143,TRUE,TRUE,0,3.5
2015-8-12 9:8:57,65.9,150.1,1.562434,1.896692,TRUE,TRUE,0,3.055
2015-8-12 9:8:59,65.9,150.2,1.539494,1.804748,TRUE,TRUE,0,3.055
2015-8-12 9:9:0,65.9,150.2,1.562434,1.712803,TRUE,TRUE,0,1.4975
2015-8-12 9:9:2,65.9,150.3,1.596844,1.643845,TRUE,TRUE,0,1.4975
2015-8-12 9:9:4,65.9,150.3,1.585374,1.609366,TRUE,TRUE,0,1.4975
2015-8-12 9:9:5,65.9,150.3,1.665663,1.574887,TRUE,TRUE,0,1.4975
2015-8-12 9:9:7,65.9,150.4,1.677133,1.563394,TRUE,TRUE,0,2.3875
2015-8-12 9:9:8,65.9,150.5,1.734482,1.563394,TRUE,TRUE,0,2.3875
2015-8-12 9:9:10,65.9,150.6,1.745952,1.563394,TRUE,TRUE,0,3.2775
2015-8-12 9:9:12,65.9,150.7,1.768892,1.620859,TRUE,TRUE,0,3.2775
2015-8-12 9:9:13,65.9,150.8,1.745952,1.70131,TRUE,TRUE,0,3.5
2015-8-12 9:9:15,65.9,150.9,1.700073,1.770268,TRUE,TRUE,0,3.5
2015-8-12 9:9:16,65.9,151,1.665663,1.804748,TRUE,TRUE,0,3.055
2015-8-12 9:9:18,65.9,151.1,1.596844,1.770268,TRUE,TRUE,0,3.055
2015-8-12 9:9:20,65.9,151.2,1.619783,1.747282,TRUE,TRUE,0,2.165
2015-8-12 9:9:21,65.9,151.3,1.631253,1.712803,TRUE,TRUE,0,2.165
2015-8-12 9:9:23,65.9,151.4,1.619783,1.689817,TRUE,TRUE,0,1.4975
2015-8-12 9:9:24,65.8,151.4,1.596844,1.666831,TRUE,TRUE,0,1.4975
2015-8-12 9:9:26,65.8,151.5,1.573904,1.632352,TRUE,TRUE,0,1.4975
2015-8-12 9:9:28,65.8,151.6,1.573904,1.597873,TRUE,TRUE,0,1.4975
2015-8-12 9:9:29,65.8,151.6,1.573904,1.609366,TRUE,TRUE,0,1.4975
2015-8-12 9:9:31,65.8,151.7,1.573904,1.643845,TRUE,TRUE,0,1.4975
2015-8-12 9:9:32,65.8,151.7,1.528024,1.643845,TRUE,TRUE,0,1.4975
2015-8-12 9:9:34,65.8,151.7,1.528024,1.632352,TRUE,TRUE,0,1.4975
2015-8-12 9:9:36,65.9,151.7,1.550964,1.620859,TRUE,TRUE,0,1.4975
2015-8-12 9:9:37,65.9,151.8,1.562434,1.609366,TRUE,TRUE,0,1.4975
2015-8-12 9:9:39,65.9,151.8,1.562434,1.58638,TRUE,TRUE,0,1.4975
2015-8-12 9:9:40,65.9,151.8,1.528024,1.609366,TRUE,TRUE,0,1.4975
2015-8-12 9:9:42,65.9,151.7,1.505085,1.609366,TRUE,TRUE,0,1.4975
2015-8-12 9:9:44,65.9,151.7,1.539494,1.563394,TRUE,TRUE,0,1.4975
2015-8-12 9:9:45,66,151.8,1.505085,1.563394,TRUE,TRUE,0,1.4975
2015-8-12 9:9:47,66,151.7,1.459205,1.574887,TRUE,TRUE,0,1.4975
2015-8-12 9:9:48,66,151.7,1.447735,1.597873,TRUE,TRUE,0,1.4975
2015-8-12 9:9:50,66,151.7,1.459205,1.574887,TRUE,TRUE,0,1.4975
2015-8-12 9:9:52,66,151.6,1.505085,1.540408,TRUE,TRUE,0,1.4975
2015-8-12 9:9:53,66,151.6,1.539494,1.528915,TRUE,TRUE,0,1.4975
2015-8-12 9:9:55,66,151.5,1.585374,1.563394,TRUE,TRUE,0,1.4975
2015-8-12 9:9:56,66,151.5,1.619783,1.563394,TRUE,TRUE,0,1.4975
2015-8-12 9:9:58,66,151.4,1.642723,1.494436,TRUE,TRUE,0,1.4975
2015-8-12 9:10:0,66,151.4,1.665663,1.459957,TRUE,TRUE,0,1.4975
2015-8-12 9:10:1,66,151.3,1.677133,1.448464,TRUE,TRUE,0,2.3875
2015-8-12 9:10:3,66,151.3,1.711542,1.482943,TRUE,TRUE,0,2.3875
2015-8-12 9:10:4,66,151.3,1.757422,1.563394,TRUE,TRUE,0,3.2775
2015-8-12 9:10:6,66,151.2,1.780362,1.643845,TRUE,TRUE,0,3.2775
2015-8-12 9:10:8,66,151.2,1.780362,1.689817,TRUE,TRUE,0,3.5
2015-8-12 9:10:9,66,151.1,1.723012,1.747282,TRUE,TRUE,0,3.5
2015-8-12 9:10:11,66,151,1.677133,1.804748,TRUE,TRUE,0,3.5
2015-8-12 9:10:12,66,151,1.608313,1.816241,TRUE,TRUE,0,3.5
2015-8-12 9:10:14,66,151,1.493615,1.770268,TRUE,TRUE,0,2.61
2015-8-12 9:10:16,66,150.9,1.516554,1.747282,TRUE,TRUE,0,2.61
2015-8-12 9:10:17,66,150.9,1.482145,1.689817,TRUE,TRUE,0,1.4975
2015-8-12 9:10:19,66,150.8,1.378916,1.666831,TRUE,TRUE,0,1.4975
2015-8-12 9:10:20,66,150.8,1.321566,1.609366,TRUE,TRUE,0,1.4975
2015-8-12 9:10:22,66,150.8,1.310097,1.528915,TRUE,TRUE,0,1.4975
2015-8-12 9:10:24,66,150.8,1.310097,1.47145,TRUE,TRUE,0,1.4975
2015-8-12 9:10:25,66,150.8,1.298627,1.505929,TRUE,TRUE,0,1.4975
2015-8-12 9:10:27,66,150.8,1.298627,1.505929,TRUE,TRUE,0,1.4975
2015-8-12 9:10:28,66,150.9,1.298627,1.47145,TRUE,TRUE,0,1.4975
2015-8-12 9:10:30,66,150.9,1.321566,1.413985,TRUE,TRUE,0,1.4975
2015-8-12 9:10:32,66,150.9,1.298627,1.310547,TRUE,TRUE,0,1.4975
2015-8-12 9:10:33,66,150.9,1.310097,1.276068,TRUE,TRUE,0,1.4975
2015-8-12 9:10:35,66,150.9,1.310097,1.287561,TRUE,TRUE,0,1.4975
2015-8-12 9:10:36,66,151,1.333036,1.287561,TRUE,TRUE,0,1.4975
2015-8-12 9:10:38,66,151,1.367446,1.241589,TRUE,TRUE,0,1.4975
2015-8-12 9:10:40,66,151,1.436265,1.264575,TRUE,TRUE,0,1.4975
2015-8-12 9:10:41,66,151,1.470675,1.287561,TRUE,TRUE,0,1.4975
2015-8-12 9:10:43,66,151,1.470675,1.264575,TRUE,TRUE,0,1.4975
2015-8-12 9:10:44,66,151,1.505085,1.264575,TRUE,TRUE,0,1.4975
2015-8-12 9:10:46,66,151,1.539494,1.264575,TRUE,TRUE,0,1.4975
2015-8-12 9:10:48,66,151.1,1.539494,1.264575,TRUE,TRUE,0,1.4975
2015-8-12 9:10:49,66,151.1,1.528024,1.264575,TRUE,TRUE,0,1.4975
2015-8-12 9:10:51,66,151.1,1.528024,1.264575,TRUE,TRUE,0,1.4975
2015-8-12 9:10:52,66,151.1,1.528024,1.264575,TRUE,TRUE,0,1.4975
2015-8-12 9:10:54,66,151.1,1.528024,1.276068,TRUE,TRUE,0,1.4975
2015-8-12 9:10:56,66,151,1.550964,1.264575,TRUE,TRUE,0,1.4975
2015-8-12 9:10:57,66,151,1.550964,1.264575,TRUE,TRUE,0,1.4975
2015-8-12 9:10:59,66,151,1.550964,1.264575,TRUE,TRUE,0,1.4975
2015-8-12 9:11:0,66,151,1.573904,1.299054,TRUE,TRUE,0,1.4975
2015-8-12 9:11:2,66,151,1.631253,1.287561,TRUE,TRUE,0,1.4975
2015-8-12 9:11:4,66,151,1.700073,1.299054,TRUE,TRUE,0,1.4975
2015-8-12 9:11:5,66.1,150.9,1.757422,1.310547,TRUE,TRUE,0,2.3875
2015-8-12 9:11:7,66.1,150.9,1.768892,1.32204,TRUE,TRUE,0,2.3875
2015-8-12 9:11:8,66.1,150.8,1.768892,1.32204,TRUE,TRUE,0,2.8325
2015-8-12 9:11:10,66.1,150.8,1.814771,1.379506,TRUE,TRUE,0,2.8325
2015-8-12 9:11:12,66.1,150.7,1.883591,1.459957,TRUE,TRUE,0,3.2775
2015-8-12 9:11:13,66,150.7,1.98682,1.563394,TRUE,TRUE,0,3.2775
2015-8-12 9:11:15,66.1,150.6,2.009759,1.735789,TRUE,TRUE,0,3.5
2015-8-12 9:11:16,66.1,150.6,1.98682,1.862213,TRUE,TRUE,0,3.5
2015-8-12 9:11:18,66.1,150.5,1.849181,1.988636,TRUE,TRUE,0,3.5
2015-8-12 9:11:20,66.1,150.4,1.677133,2.057594,TRUE,TRUE,0,3.5
2015-8-12 9:11:21,66.1,150.3,1.516554,2.057594,TRUE,TRUE,0,2.61
2015-8-12 9:11:23,66.1,150.3,1.378916,2.011622,TRUE,TRUE,0,2.61
2015-8-12 9:11:24,66.1,150.2,1.264217,1.896692,TRUE,TRUE,0,1.4975
2015-8-12 9:11:26,66.1,150.1,1.252747,1.804748,TRUE,TRUE,0,1.4975
2015-8-12 9:11:28,66.1,150,1.344506,1.724296,TRUE,TRUE,0,1.4975
2015-8-12 9:11:29,66.1,150,1.378916,1.655338,TRUE,TRUE,0,1.4975
2015-8-12 9:11:31,66.1,150,1.424795,1.551901,TRUE,TRUE,0,1.4975
2015-8-12 9:11:32,66.1,149.9,1.459205,1.448464,TRUE,TRUE,0,1.4975
2015-8-12 9:11:34,66.1,149.9,1.516554,1.390998,TRUE,TRUE,0,1.4975
2015-8-12 9:11:36,66.1,149.9,1.619783,1.32204,TRUE,TRUE,0,1.4975
2015-8-12 9:11:37,66.1,149.9,1.803301,1.287561,TRUE,TRUE,0,1.4975
2015-8-12 9:11:39,66.1,149.9,2.021229,1.32204,TRUE,TRUE,0,1.4975
2015-8-12 9:11:40,66.1,149.9,2.124458,1.413985,TRUE,TRUE,0,2.3875
2015-8-12 9:11:42,66.1,150,2.147398,1.436971,TRUE,TRUE,0,2.3875
2015-8-12 9:11:44,66.1,150,2.124458,1.482943,TRUE,TRUE,0,3.5
2015-8-12 9:11:45,66.2,150,2.067109,1.643845,TRUE,TRUE,0,3.5
2015-8-12 9:11:47,66.1,150.1,1.895061,2.057594,TRUE,TRUE,0,3.5
2015-8-12 9:11:48,66.1,150.2,2.147398,2.195511,TRUE,TRUE,0,3.5
2015-8-12 9:11:50,66.1,150.3,2.170338,2.138045,TRUE,TRUE,0,3.5
2015-8-12 9:11:52,66.2,150.3,2.112988,2.023115,TRUE,TRUE,0,3.5
2015-8-12 9:11:53,66.1,150.5,2.067109,1.804748,TRUE,TRUE,0,3.5
2015-8-12 9:11:55,66.2,150.6,1.998289,2.184017,TRUE,TRUE,0,3.5
2015-8-12 9:11:56,66.1,150.7,1.883591,2.161031,TRUE,TRUE,0,3.5
2015-8-12 9:11:58,66.2,150.9,1.883591,2.092073,TRUE,TRUE,0,3.5
2015-8-12 9:12:0,66.1,151,1.837711,2.103566,TRUE,TRUE,0,2.61
2015-8-12 9:12:1,66.2,151.1,1.734482,2.023115,TRUE,TRUE,0,2.61
2015-8-12 9:12:3,66.1,151.2,1.642723,1.942664,TRUE,TRUE,0,2.165
2015-8-12 9:12:4,66.1,151.4,1.562434,1.919678,TRUE,TRUE,0,2.165
2015-8-12 9:12:6,66.1,151.5,1.470675,1.919678,TRUE,TRUE,0,1.4975
2015-8-12 9:12:8,66.2,151.6,1.367446,1.85072,TRUE,TRUE,0,1.4975
2015-8-12 9:12:9,66.2,151.7,1.252747,1.839227,TRUE,TRUE,0,1.4975
2015-8-12 9:12:11,66.2,151.8,1.138048,1.747282,TRUE,TRUE,0,1.4975
2015-8-12 9:12:12,66.2,151.9,1.057759,1.689817,TRUE,TRUE,0,1.4975
2015-8-12 9:12:14,66.2,152,1.02335,1.632352,TRUE,TRUE,0,1.4975
2015-8-12 9:12:16,66.2,152.1,1.401856,1.563394,TRUE,TRUE,0,1.4975
2015-8-12 9:12:17,66.2,152.1,1.895061,1.505929,TRUE,TRUE,0,1.4975
2015-8-12 9:12:19,66.2,152.3,1.90653,1.390998,TRUE,TRUE,0,1.4975
2015-8-12 9:12:20,66.2,152.3,1.895061,1.310547,TRUE,TRUE,0,1.4975
2015-8-12 9:12:22,66.2,152.3,1.860651,1.195617,TRUE,TRUE,0,3.5
2015-8-12 9:12:24,66.2,152.4,1.814771,1.080687,TRUE,TRUE,0,3.5
2015-8-12 9:12:25,66.2,152.4,1.745952,1.149645,TRUE,TRUE,0,2.61
2015-8-12 9:12:27,66.2,152.4,1.837711,1.896692,TRUE,TRUE,0,2.61
2015-8-12 9:12:28,66.2,152.4,1.895061,1.919678,TRUE,TRUE,0,2.165
